"seqname","accession","tax_id","species_name","is_type"
"S003612818_Salmonella_enterica_subsp._enterica_serovar_Typhimurium_85_JQ694621","","90371","Salmonella enterica subsp. enterica serovar Typhimurium","FALSE"
"S003612819_Salmonella_enterica_subsp._enterica_serovar_Typhimurium_108_JQ694626","","90371","Salmonella enterica subsp. enterica serovar Typhimurium","FALSE"
"S003612820_Salmonella_enterica_subsp._enterica_serovar_Typhimurium_391_JQ694627","","90371","Salmonella enterica subsp. enterica serovar Typhimurium","FALSE"
"S003880689_Salmonella_enterica_subsp._enterica_serovar_Typhimurium_var._5-_str._CFSAN001921_11NY04CB01-S_CP006048","","1271862","Salmonella enterica subsp. enterica serovar Typhimurium","FALSE"
"S003881343_Salmonella_enterica_subsp._enterica_serovar_Agona_str._24249_CP006876","","1406860","Salmonella enterica subsp. enterica serovar Agona str. 24249","FALSE"
"S003941492_Salmonella_enterica_subsp._enterica_serovar_Typhimurium_str._DT104_HF937208","","85569","Salmonella enterica subsp. enterica serovar Typhimurium str. DT104","FALSE"
"S003942057_Salmonella_enterica_subsp._enterica_serovar_Typhimurium_str._DT2_HG326213","","568709","Salmonella enterica subsp. enterica serovar Typhimurium str. DT2","FALSE"
"S004063104_Salmonella_enterica_subsp._enterica_serovar_Typhimurium_str._798_CP003386","","90371","Salmonella enterica subsp. enterica serovar Typhimurium","FALSE"
"S004063206_Salmonella_enterica_subsp._enterica_serovar_Agona_str._SL483_CP001138","","454166","Salmonella enterica subsp. enterica serovar Agona str. SL483","FALSE"
"S004063777_Salmonella_enterica_subsp._enterica_serovar_Newport_str._USMARC-S3124.1_CP006631","","108619","Salmonella enterica subsp. enterica serovar Newport","FALSE"
"S004064030_Salmonella_enterica_subsp._enterica_serovar_Newport_str._SL254_CP001113","","423368","Salmonella enterica subsp. enterica serovar Newport str. SL254","FALSE"
"S004064032_Salmonella_enterica_subsp._enterica_serovar_Typhimurium_str._D23580_FN424405","","568708","Salmonella enterica subsp. enterica serovar Typhimurium str. D23580","FALSE"
"S004064222_Salmonella_enterica_subsp._enterica_serovar_Typhimurium_str._ST4_74_CP002487","","909946","Salmonella enterica subsp. enterica serovar Typhimurium str. ST4_74","FALSE"
"S004064228_Salmonella_enterica_subsp._enterica_serovar_Typhimurium_str._ST4_74_CP002487","","909946","Salmonella enterica subsp. enterica serovar Typhimurium str. ST4_74","FALSE"
"S004064815_Salmonella_enterica_subsp._enterica_serovar_Typhimurium_str._U288_CP003836","","90371","Salmonella enterica subsp. enterica serovar Typhimurium","FALSE"
"S004065618_Salmonella_enterica_subsp._enterica_serovar_Typhimurium_str._DT2_HG326213","","568709","Salmonella enterica subsp. enterica serovar Typhimurium str. DT2","FALSE"
"S004071322_Salmonella_enterica_subsp._enterica_serovar_Montevideo_str._507440-20_CP007530","","859199","Salmonella enterica subsp. enterica serovar Montevideo str. 507440-20","FALSE"
"S004126501_Salmonella_enterica_subsp._enterica_serovar_Typhimurium_str._L-3553_AP014565","","90371","Salmonella enterica subsp. enterica serovar Typhimurium","FALSE"
"S004212400_Salmonella_enterica_subsp._enterica_serovar_Typhimurium_ATCC_13311_CP009102","","90371","Salmonella enterica subsp. enterica serovar Typhimurium","FALSE"
"S004224825_Salmonella_enterica_subsp._enterica_serovar_Dublin_LK931502","","98360","Salmonella enterica subsp. enterica serovar Dublin","FALSE"
"S004253999_Salmonella_enterica_subsp._enterica_serovar_Typhimurium_GD12_KF928768","","90371","Salmonella enterica subsp. enterica serovar Typhimurium","FALSE"
"S004459256_Salmonella_enterica_subsp._enterica_serovar_Newport_str._USDA-ARS-USMARC-1927_CP007216","","1454620","Salmonella enterica subsp. enterica serovar Newport str. USDA-ARS-USMARC-1927","FALSE"
"S004459457_Salmonella_enterica_subsp._enterica_serovar_Newport_str._CVM_21538_CP010282","","796731","Salmonella enterica subsp. enterica serovar Newport str. CVM 21538","FALSE"
"S004459497_Salmonella_enterica_subsp._enterica_serovar_Newport_str._CDC_2010K-2159_CP007559","","1454627","Salmonella enterica subsp. enterica serovar Newport str. CDC 2010K-2159","FALSE"
"S004459538_Salmonella_enterica_subsp._enterica_serovar_Montevideo_str._USDA-ARS-USMARC-1903_CP007222","","1454603","Salmonella enterica subsp. enterica serovar Montevideo str. USDA-ARS-USMARC-1903","FALSE"
"S004459562_Salmonella_enterica_subsp._enterica_serovar_Agona_str._460004_2-1_CP011259","","58095","Salmonella enterica subsp. enterica serovar Agona","FALSE"
"S004459668_Salmonella_enterica_subsp._enterica_serovar_Newport_str._CVM_N1543_CP010284","","858307","Salmonella enterica subsp. enterica serovar Newport str. CVM N1543","FALSE"
"S004461423_Salmonella_enterica_subsp._enterica_serovar_Typhimurium_FORC_015_CP011365","","90371","Salmonella enterica subsp. enterica serovar Typhimurium","FALSE"
"S004461429_Salmonella_enterica_subsp._enterica_serovar_Typhimurium_FORC_015_CP011365","","90371","Salmonella enterica subsp. enterica serovar Typhimurium","FALSE"
"NR_136472.1_Escherichia_marmotae_strain_HT073016_16S_ribosomal_RNA_partial_sequence","","1499973","Escherichia marmotae strain HT073016","FALSE"
"NR_074902.1_Escherichia_fergusonii_strain_ATCC_35469_16S_ribosomal_RNA_complete_sequence","","585054","Escherichia fergusonii strain ATCC 35469","FALSE"
"NR_104901.1_Shigella_boydii_strain_P288_16S_ribosomal_RNA_gene_partial_sequence","","621","Shigella boydii strain P288","FALSE"
